Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
KUL6;KULJ;76.29834;40.81645;3248.371;1145579.757;4698764.957;4149140.924;Kyrgyzstan;
KULJ;KULJ;76.29839;40.81647;3249.261;1145576.201;4698764.752;4149143.211;Kyrgyzstan;
KUM4;KUMB;70.60053;41.66853;1780.355;1585325.638;4501907.388;4219356.212;Kyrgyzstan;
KUM5;KUMB;70.60053;41.66853;1780.355;1585328.283;4501911.105;4219352.470;Kyrgyzstan;
KUM6;KUMB;70.60053;41.66853;1780.355;1585324.005;4501908.144;4219355.040;Kyrgyzstan;
KUMB;KUMB;70.60053;41.66853;1780.355;1585329.441;4501907.327;4219354.592;Kyrgyzstan;
KUMT;KUMT;78.19039;41.86352;4012.850;974207.246;4659359.971;4237004.254;Kyrgyzstan;_GPS - _3PS
KMTR;KUMT;78.19921;41.86780;4158.505;973446.954;4659305.874;4237455.670;Kyrgyzstan;
KUNJ;KUNJ;75.44655;36.85057;4623.408;1284975.177;4949576.993;3806908.840;China;
KUNK;KUNK;75.76129;41.74924;2699.941;1172651.565;4621141.046;4226662.613;Kyrgyzstan;
KUK5;KUNK;75.76130;41.74925;2701.092;1172650.282;4621141.407;4226664.214;Kyrgyzstan;
KUK4;KUNK;75.76133;41.74928;2703.416;1172647.917;4621141.735;4226668.009;Kyrgyzstan;
KRM4;KURA;78.16097;43.48268;998.042;951123.022;4537324.112;4367252.838;Kazakhstan;
KRM6;KURA;78.16115;43.48268;997.269;951108.743;4537326.611;4367252.220;Kazakhstan;
KURA;KURA;78.16099;43.48269;997.836;951120.966;4537324.060;4367253.063;Kazakhstan;
KRM5;KURA;78.16113;43.48269;997.415;951110.316;4537325.545;4367253.197;Kazakhstan;
URD1;KURD;75.08623;43.37942;890.302;1195141.356;4487322.402;4358845.683;Kazakhstan;
KUR4;KURD;75.08626;43.37944;891.310;1195137.166;4487322.716;4358847.883;Kazakhstan;
KUR5;KURD;75.08628;43.37944;891.037;1195135.068;4487322.483;4358848.520;Kazakhstan;
KURD;KURD;75.08630;43.37944;891.021;1195134.016;4487322.710;4358848.366;Kazakhstan;
KUR6;KURD;75.08631;43.37948;890.545;1195132.214;4487319.750;4358851.360;Kazakhstan;
