AAC4;AAC4_GPS;2013-08-29;1324946.87246;4547063.84852;4260975.76434;73.754661669;42.1680419181;2263.17449;AACH;Kyrgyzstan;0.07;0.08;-0.16;3.25;0.22;0.55
ABD5;ABD5_GPS;2019-05-27;1468168.34005;4531956.3326;4228482.74745;72.0497982538;41.7840444503;1102.33731;ABDU;Kyrgyzstan;0.07;0.07;-13.78;8.27;0.27;1.89
AKBA;AKBA_GPS;1997-07-31;1070473.96375;4620685.54388;4252928.67003;76.956395137;42.0726937179;1981.61775;AKBA;Kyrgyzstan;0.06;0.06;0.24;8.34;0.16;0.17
I07A;I07A_GPS;2003-05-18;1237827.3238;4524789.91404;4308637.67257;74.7001781651;42.7586224937;1156.8836;IV07;Kyrgyzstan;0.05;0.06;-1.09;2.08;0.09;0.49
I23A;I23A_GPS;2013-04-08;1241217.85577;4523842.69745;4308590.36351;74.6571814812;42.7584178053;1111.7951;IV23;Kyrgyzstan;0.06;0.06;-1.12;2.19;0.11;0.38
I24A;I24A_GPS;2002-11-28;1231780.07949;4524913.56022;4310015.18041;74.7718415937;42.776724725;1011.08056;IV24;Kyrgyzstan;0.06;0.07;-0.75;1.48;0.12;0.2
