Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
ARP0;ARP0;74.82705;40.83745;3240.81446;1265447.199;4666323.815;4150901.908;Kyrgyzstan
ARP4;ARP0;74.82701;40.83746;3241.06415;1265449.896;4666322.341;4150903.051;Kyrgyzstan
ARP5;ARP0;74.827;40.83745;3240.75654;1265450.93;4666322.998;4150901.547;Kyrgyzstan
ARP6;ARP0;74.82706;40.83745;3240.81148;1265446.408;4666323.756;4150902.146;Kyrgyzstan
ARS0;ARS0;72.98143;41.24337;960.15455;1405907.394;4593191.021;4183416.291;Kyrgyzstan
ARS4;ARS0;72.98148;41.24386;960.90402;1405893.696;4593158.217;4183457.708;Kyrgyzstan
ARS5;ARS0;72.98141;41.24365;961.07551;1405903.119;4593171.259;4183440.599;Kyrgyzstan
ARS6;ARS0;72.98141;41.24319;958.86143;1405912.751;4593201.589;4183400.949;Kyrgyzstan
ARTB;ARTB;87.28193;51.79856;461.47386;187451.6028;3948436.101;4989336.189;Russia
ARTH;ARTH;87.28084;51.79837;462.99866;187527.5587;3948450.722;4989323.787;Russia
ASK4;ASKL;73.53754;40.07479;1903.19717;1385428.935;4688407.585;4085568.845;Kyrgyzstan
ASK5;ASKL;73.53757;40.07474;1904.10537;1385427.75;4688412.534;4085565.023;Kyrgyzstan
ASKL;ASKL;73.53754;40.07477;1903.26552;1385429.492;4688409.264;4085566.865;Kyrgyzstan
ASKR;ASKR;81.10475;50.091;352.27131;634028.5833;4051015.41;4869559.102;Kazakhstan
ASP4;ASPR;73.49382;42.70025;1791.12393;1334198.223;4502393.132;4304303.26;Kyrgyzstan
ASR4;ASKR;81.10472;50.09096;352.30549;634030.7169;4051017.908;4869556.736;Kazakhstan
ASS4;ASSY;78.14793;43.30962;2093.64144;955033.0712;4550818.395;4354030.83;Kazakhstan
AST4;ASTR;76.9657;43.05853;2710.21631;1053131.871;4549187.697;4334105.679;Kazakhstan
AST5;ASTR;76.96567;43.05855;2710.34355;1053133.891;4549186.377;4334106.755;Kazakhstan
AST6;ASTR;76.96564;43.05859;2709.73621;1053135.935;4549181.707;4334110.237;Kazakhstan
ASTR;ASTR;76.9657;43.05857;2709.30325;1053131.562;4549184.094;4334108.238;Kazakhstan
ATAK;ATAK;76.86863;43.33701;699.05373;1055691.779;4525340.227;4355288.323;Kazakhstan
AWAT;I062;80.39246;40.64296;987.70919;809000.9828;4779272.151;4133061.734;China
AZO4;AZOK;77.11445;43.89657;432.96156;1026659.319;4487829.744;4400117.602;Kazakhstan
AZO5;AZOK;77.11445;43.89657;432.82963;1026659.2;4487829.879;4400117.302;Kazakhstan
AZO6;AZOK;77.11442;43.89659;433.17463;1026661.746;4487827.72;4400119.399;Kazakhstan
AZOK;AZOK;77.11445;43.89658;431.59012;1026660.877;4487827.611;4400117.437;Kazakhstan
BAB4;BABA;73.26775;39.51251;3440.62881;1419338.457;4721244.471;4038564.157;Kyrgyzstan
BAB5;BABA;73.26773;39.51255;3440.0516;1419339.33;4721240.758;4038567.257;Kyrgyzstan
BABA;BABA;73.26775;39.51254;3440.15299;1419338.003;4721242.125;4038566.292;Kyrgyzstan
BACH;BACH;78.54008;39.77649;1071.50622;975420.6085;4811570.729;4059629.345;China
BAL4;BAL4;67.70077;39.75737;1074.77221;1863370.376;4543556.475;4057995.265;Uzbekistan
BALN;BALN;86.31196;42.75499;1740.32945;301792.4319;4682034.711;4308737.765;China
BAR4;BARS;77.61607;42.0075;2295.47779;1018294.414;4637669.916;4247758.593;Kyrgyzstan
BAS4;BAYS;67.16547;38.20646;1346.25663;1947863.744;4625976.312;3924310.001;Uzbekistan
BAS5;BAYS;67.16544;38.20651;1347.05129;1947864.668;4625972.593;3924315.188;Uzbekistan
BAU4;BAUK;75.0192;41.57612;2008.63741;1235575.846;4617418.897;4211832.832;Kyrgyzstan
BAU5;BAUK;75.01921;41.57607;2007.23759;1235575.917;4617421.288;4211828.098;Kyrgyzstan
BAU6;BAUK;75.01921;41.57609;2007.2348;1235575.263;4617420.236;4211829.425;Kyrgyzstan
BAUK;BAUK;75.01922;41.5761;2007.36169;1235574.222;4617419.588;4211830.684;Kyrgyzstan
